Country,"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Birth Rate,Co2-Emissions,CPI,CPI Change (%),Fertility Rate,Forested Area (%),Gasoline Price,GDP,Infant mortality,Life expectancy,Minimum wage,Physicians per thousand,Population,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,GDP_formatted,Tax_revenue_formatted,Unemployment_rate_formatted,Life_expectancy_formatted
Afghanistan,60,58.10%,"652,230",32.49,"8,672",149.9,2.30%,4.47,2.10%,$0.70 ,"$19,101,353,833 ",47.9,64.5,$0.43 ,0.28,"38,041,754",9.30%,71.40%,11.12%,"9,797,273",33.93911,67.709953,0.000891433,0.248,0.394606104,0.741257471
Albania,105,43.10%,"28,748",11.78,"4,536",119.05,1.40%,1.62,28.10%,$1.36 ,"$15,278,077,447 ",7.8,78.5,$1.12 ,1.2,"2,854,191",18.60%,36.60%,12.33%,"1,747,593",41.153332,20.168331,0.000713006,0.496,0.437544358,0.902150566
Algeria,18,17.40%,"2,381,741",24.28,"150,006",151.36,2.00%,3.02,0.80%,$0.28 ,"$169,988,236,398 ",20.1,76.7,$0.95 ,1.72,"43,053,054",37.20%,66.10%,11.70%,"31,510,100",28.033886,1.659626,0.007933107,0.992,0.415188077,0.881464311
Andorra,164,40.00%,468,7.2,469,113.22,4.60%,1.27,34.00%,$1.51 ,"$3,154,057,987 ",2.7,83.7082,$6.63 ,3.33,"77,142",0.90%,10%,1.90%,"67,873",42.506285,1.521801,0.000147195,0.024,0.067423705,0.962005096
Angola,26,47.50%,"1,246,700",40.73,"34,693",261.73,17.10%,5.52,46.30%,$0.97 ,"$94,635,415,870 ",51.6,60.8,$0.71 ,0.21,"31,825,295",9.20%,49.10%,6.89%,"21,061,025",-11.202692,17.873887,0.004416499,0.245333333,0.244499645,0.698735725
Antigua and Barbuda,223,20.50%,443,15.33,557,113.81,1.20%,1.99,22.30%,$0.99 ,"$1,727,759,259 ",5,76.9,$3.04 ,2.76,"97,118",16.50%,43.00%,15.08%,"23,800",17.060816,-61.796428,8.06E-05,0.44,0.535131299,0.883762784
Argentina,17,54.30%,"2,780,400",17.02,"201,348",232.75,53.50%,2.26,9.80%,$1.10 ,"$449,663,446,954 ",8.8,76.5,$3.35 ,3.96,"44,938,712",10.10%,106.30%,9.79%,"41,339,571",-38.416097,-63.616672,0.020985148,0.269333333,0.34740951,0.879165838
Armenia,104,58.90%,"29,743",13.99,"5,156",129.18,1.40%,1.76,11.70%,$0.77 ,"$13,672,802,158 ",11,74.9,$0.66 ,4.4,"2,957,731",20.90%,22.60%,16.99%,"1,869,848",40.069099,45.038189,0.00063809,0.557333333,0.602909865,0.860778056
Australia,3,48.20%,"7,741,220",12.6,"375,908",119.8,1.60%,1.74,16.30%,$0.93 ,"$1,392,680,589,329 ",3.1,82.7,$13.59 ,3.68,"25,766,605",23.00%,47.40%,5.27%,"21,844,756",-25.274398,133.775136,0.064994404,0.613333333,0.187012065,0.950418494
Austria,109,32.40%,"83,871",9.7,"61,448",118.06,1.50%,1.47,46.90%,$1.20 ,"$446,314,739,528 ",2.9,81.6,$10.82 ,5.17,"8,877,067",25.40%,51.40%,4.67%,"5,194,416",47.516231,14.550072,0.020828868,0.677333333,0.165720369,0.937776894
Azerbaijan,123,57.70%,"86,600",14,"37,620",156.32,2.60%,1.73,14.10%,$0.56 ,"$39,207,000,000 ",19.2,72.9,$0.47 ,3.45,"10,023,318",13.00%,40.70%,5.51%,"5,616,165",40.143105,47.576927,0.001829734,0.346666667,0.195528744,0.837793328
The Bahamas,39,1.40%,"13,880",13.97,"1,786",116.22,2.50%,1.75,51.40%,$0.92 ,"$12,827,000,000 ",8.3,73.8,$5.25 ,1.94,"389,482",14.80%,33.80%,10.36%,"323,784",25.03428,-77.39628,0.000598618,0.394666667,0.367636622,0.848136456
Bahrain,"2,239",11.10%,765,13.99,"31,694",117.59,2.10%,1.99,0.80%,$0.43 ,"$38,574,069,149 ",6.1,77.2,$19.89 ,0.93,"1,501,635",4.20%,13.80%,0.71%,"1,467,109",26.0667,50.5577,0.001800196,0.112,0.025195174,0.887210493
Bangladesh,"1,265",70.60%,"148,460",18.18,"84,246",179.68,5.60%,2.04,11.00%,$1.12 ,"$302,571,254,131 ",25.1,72.3,$0.51 ,0.58,"167,310,838",8.80%,33.40%,4.19%,"60,987,417",23.684994,90.356331,0.014120566,0.234666667,0.148687012,0.83089791
Barbados,668,23.30%,430,10.65,"1,276",134.09,4.10%,1.62,14.70%,$1.81 ,"$5,209,000,000 ",11.3,79.1,$3.13 ,2.48,"287,025",27.50%,35.60%,10.33%,"89,431",13.193887,-59.543198,0.000243097,0.733333333,0.366572037,0.909045984
Belarus,47,42.00%,"207,600",9.9,"58,280",,5.60%,1.45,42.60%,$0.60 ,"$63,080,457,023 ",2.6,74.2,$1.49 ,5.19,"9,466,856",14.70%,53.30%,4.59%,"7,482,982",53.709807,27.953389,0.002943874,0.392,0.162881476,0.852733401
Belgium,383,44.60%,"30,528",10.3,"96,889",117.11,1.40%,1.62,22.60%,$1.43 ,"$529,606,710,418 ",2.9,81.6,$10.31 ,3.07,"11,484,055",24.00%,55.40%,5.59%,"11,259,082",50.503887,4.469936,0.024715985,0.64,0.198367637,0.937776894
Belize,17,7.00%,"22,966",20.79,568,105.68,-0.90%,2.31,59.70%,$1.13 ,"$1,879,613,600 ",11.2,74.5,$1.65 ,1.12,"390,353",26.30%,31.10%,6.41%,"179,039",17.189877,-88.49765,8.77E-05,0.701333333,0.227466288,0.85618111
Benin,108,33.30%,"112,622",36.22,"6,476",110.71,-0.90%,4.84,37.80%,$0.72 ,"$14,390,709,095 ",60.5,61.5,$0.39 ,0.08,"11,801,151",10.80%,48.90%,2.23%,"5,648,149",9.30769,2.315834,0.000671594,0.288,0.079134138,0.70678038
Bhutan,20,13.60%,"38,394",17.26,"1,261",167.18,2.70%,1.98,72.50%,$0.98 ,"$2,446,674,101 ",24.8,71.5,$0.32 ,0.42,"727,145",16.00%,35.30%,2.34%,"317,538",27.514162,90.433601,0.000114183,0.426666667,0.083037615,0.821704019
Bolivia,11,34.80%,"1,098,581",21.75,"21,606",148.32,1.80%,2.73,50.30%,$0.71 ,"$40,895,322,865 ",21.8,71.2,$1.36 ,1.59,"11,513,100",17.00%,83.70%,3.50%,"8,033,035",-16.290154,-63.588653,0.001908526,0.453333333,0.124201561,0.81825631
Bosnia and Herzegovina,64,43.10%,"51,197",8.11,"21,848",104.9,0.60%,1.27,42.70%,$1.05 ,"$20,047,848,435 ",5,77.3,$1.04 ,2.16,"3,301,000",20.40%,23.70%,18.42%,"1,605,144",43.915886,17.679076,0.000935604,0.544,0.653655075,0.888359729
Botswana,4,45.60%,"581,730",24.82,"6,340",149.75,2.80%,2.87,18.90%,$0.71 ,"$18,340,510,789 ",30,69.3,$0.29 ,0.37,"2,346,179",19.50%,25.10%,18.19%,"1,616,550",-22.328474,24.684866,0.000855925,0.52,0.645493258,0.796420818
Brazil,25,33.90%,"8,515,770",13.92,"462,299",167.4,3.70%,1.73,58.90%,$1.02 ,"$1,839,758,040,766 ",12.8,75.7,$1.53 ,2.15,"212,559,417",14.20%,65.10%,12.08%,"183,241,641",-14.235004,-51.92528,0.085858867,0.378666667,0.428672818,0.869971947
Brunei,83,2.70%,"5,765",14.9,"7,664",99.03,-0.40%,1.85,72.10%,$0.37 ,"$13,469,422,941 ",9.8,75.7,$2.08 ,1.61,"433,285",1.60%,8.00%,9.12%,"337,711",4.535277,114.727669,0.000628599,0.042666667,0.323633783,0.869971947
Bulgaria,64,46.30%,"110,879",8.9,"41,708",114.42,3.10%,1.56,35.40%,$1.11 ,"$86,000,000,000 ",5.9,74.9,$1.57 ,4.03,"6,975,761",20.20%,28.30%,4.34%,"5,256,027",42.733883,25.48583,0.004013497,0.538666667,0.154009936,0.860778056
Burkina Faso,76,44.20%,"274,200",37.93,"3,418",106.58,-3.20%,5.19,19.30%,$0.98 ,"$15,745,810,235 ",49,61.2,$0.34 ,0.08,"20,321,378",15.00%,41.30%,6.26%,"6,092,349",12.238333,-1.561593,0.000734834,0.4,0.222143364,0.703332671
Burundi,463,79.20%,"27,830",39.01,495,182.11,-0.70%,5.41,10.90%,$1.21 ,"$3,012,334,882 ",41,61.2,$0.43 ,0.1,"11,530,580",13.60%,41.20%,1.43%,"1,541,177",-3.373056,29.918886,0.000140581,0.362666667,0.050745209,0.703332671
Ivory Coast,83,64.80%,"322,463",35.74,"9,674",111.61,-0.90%,4.65,32.70%,$0.93 ,"$58,792,205,642 ",59.4,57.4,$0.36 ,0.23,"25,716,544",11.80%,50.10%,3.32%,"13,176,900",7.539989,-5.54708,0.002743748,0.314666667,0.117814053,0.659661688
Cape Verde,138,19.60%,"4,033",19.49,543,110.5,1.10%,2.27,22.50%,$1.02 ,"$1,981,845,741 ",16.7,72.8,$0.68 ,0.77,"483,628",20.10%,37.50%,12.25%,"364,029",16.5388,-23.0418,9.25E-05,0.536,0.434705465,0.836644092
Cambodia,95,30.90%,"181,035",22.46,"9,919",127.63,2.50%,2.5,52.90%,$0.90 ,"$27,089,389,787 ",24,69.6,$5.10 ,0.17,"16,486,542",17.10%,23.10%,0.68%,"3,924,621",12.565679,104.990963,0.001264223,0.456,0.024130589,0.799868527
Cameroon,56,20.60%,"475,440",35.39,"8,291",118.65,2.50%,4.57,39.30%,$1.03 ,"$38,760,467,033 ",50.6,58.9,$0.35 ,0.09,"25,876,380",12.80%,57.70%,3.38%,"14,741,256",7.369722,12.354722,0.001808895,0.341333333,0.119943222,0.676900234
Canada,4,6.90%,"9,984,670",10.1,"544,894",116.76,1.90%,1.5,38.20%,$0.81 ,"$1,736,425,629,520 ",4.3,81.9,$9.51 ,2.61,"36,991,981",12.80%,24.50%,5.56%,"30,628,482",56.130366,-106.346771,0.081036492,0.341333333,0.197303052,0.941224603
Central African Republic,8,8.20%,"622,984",35.35,297,186.86,37.10%,4.72,35.60%,$1.41 ,"$2,220,307,369 ",84.5,52.8,$0.37 ,0.06,"4,745,185",8.60%,73.30%,3.68%,"1,982,064",6.611111,20.939444,0.000103619,0.229333333,0.13058907,0.606796814
Chad,13,39.70%,"1,284,000",42.17,"1,016",117.7,-1.00%,5.75,3.80%,$0.78 ,"$11,314,951,343 ",71.4,54,$0.60 ,0.04,"15,946,876",10%,63.50%,1.89%,"3,712,273",15.454166,18.732207,0.000528053,0.266666667,0.067068843,0.620587651
Chile,26,21.20%,"756,096",12.43,"85,822",131.91,2.60%,1.65,24.30%,$1.03 ,"$282,318,159,745 ",6.2,80,$2.00 ,2.59,"18,952,038",18.20%,34.00%,7.09%,"16,610,135",-35.675147,-71.542969,0.013175383,0.485333333,0.251596877,0.919389112
China,153,56.20%,"9,596,960",10.9,"9,893,038",125.08,2.90%,1.69,22.40%,$0.96 ,"$19,910,000,000,000 ",7.4,77,$0.87 ,1.98,"1,397,715,000",9.40%,59.20%,4.32%,"842,933,962",35.86166,104.195397,0.92917112,0.250666667,0.153300213,0.88491202
